SEMESTER,DEPARTMENT,NAME,COURSE NUMBER,SECTION,# GRADES,AVE. GPA,A,AB,B,BC,C,D,F,S,U,CR,C,P,I,NW,NR,OTHER
2016-2017 Fall,cs,Introduction to Computation,202,001,77,3.331,49.4,26.0,6.5,3.9,5.2,5.2,3.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Discrete Mathematics,240,001,125,3.104,28.0,8.8,37.6,15.2,7.2,2.4,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Discrete Mathematics,240,002,149,3.117,34.2,6.7,34.9,12.8,6.0,2.7,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Discrete Mathematics,240,NULL,274,3.111,31.4,7.7,36.1,13.9,6.6,2.6,1.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Computer Engineering,252,001,7,2.500,14.3,14.3,NULL,28.6,28.6,14.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Computer Engineering,252,002,139,3.183,37.4,15.8,16.5,13.7,14.4,0.7,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Computer Engineering,252,005,107,3.079,32.7,17.8,15.0,16.8,13.1,1.9,2.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro to Computer Engineering,252,NULL,253,3.121,34.8,16.6,15.4,15.4,14.2,1.6,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Directed Study in Comp Sci,298,112,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro Data Programming,301,001,139,3.291,36.0,20.1,23.7,10.8,7.9,0.7,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro Data Programming,301,002,141,3.302,33.3,22.0,28.4,7.8,5.0,0.7,1.4,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Intro Data Programming,301,NULL,280,3.297,34.6,21.1,26.1,9.3,6.4,0.7,1.1,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Introduction to Programming,302,001,191,3.120,26.2,19.4,30.9,11.5,5.2,2.6,2.6,1.0,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Introduction to Programming,302,002,208,3.020,26.9,12.5,35.1,9.6,6.7,3.4,4.3,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Introduction to Programming,302,003,213,3.110,21.6,23.9,36.6,7.5,5.2,1.9,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Introduction to Programming,302,004,211,3.050,19.9,16.6,39.3,14.2,4.7,2.8,1.9,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,Introduction to Programming,302,NULL,823,3.074,23.6,18.1,35.6,10.7,5.5,2.7,3.0,0.7,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,WES-CS Group Meeting,304,001,9,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,WES-CS Group Meeting,304,002,11,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,WES-CS Group Meeting,304,003,12,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,WES-CS Group Meeting,304,004,9,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016-2017 Fall,cs,WES-CS Group Meeting,304,005,10,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
